K,T,rep,density,rho_true,rho_naive,rho_corrected,radius_error_naive,radius_error_corrected,rel_frob_naive,rel_frob_corrected,support_auc_naive,support_auc_corrected,support_ap_naive,support_ap_corrected,support_f1_oracle_naive,support_f1_oracle_corrected,perron_cos_naive,perron_cos_corrected,projection_error
10,20000,0,0.44,0.6499999999999999,0.9106013828387425,0.6523561714277264,0.26060138283874257,0.0023561714277264834,0.16584102031453882,0.008518861686760654,0.9955357142857143,1.0,0.995130550790928,1.0,0.9545454545454546,1.0,0.9947919914992451,0.9999843480982514,0.009528549830990973
10,20000,1,0.42,0.6499999999999995,0.9093063732512576,0.6544135809437872,0.25930637325125816,0.004413580943787743,0.125559475223655,0.008605704096614859,1.0,1.0,1.0,1.0,1.0,1.0,0.9801570098020161,0.9999269530113262,0.009342082832353651
10,20000,2,0.39,0.6499999999999994,0.9076180594589918,0.6510206084183318,0.2576180594589924,0.0010206084183324027,0.2375254738471676,0.008850891561614777,0.9920134510298445,1.0,0.9884854005417041,1.0,0.9230769230769231,1.0,0.9497367065652363,0.9999796517955934,0.010644698974568385
10,20000,3,0.43,0.6499999999999986,0.912070549331078,0.6527517919097228,0.2620705493310794,0.0027517919097241883,0.20573084034367567,0.010029789350097792,0.9898000815993472,1.0,0.9889814917844295,1.0,0.9302325581395349,1.0,0.9898814127780764,0.9999818573079923,0.010619536912540554
10,20000,4,0.41,0.6500000000000017,0.9091306916853881,0.6537141363507631,0.2591306916853864,0.0037141363507614544,0.1901802325597353,0.0076430853831160805,0.9971062422488631,1.0,0.9962914678446215,1.0,0.975609756097561,1.0,0.99438526284557,0.9999932994283274,0.009574478366833913
25,1000,0,0.1808,0.649999999999999,0.9131229253014971,0.7227528323714585,0.26312292530149806,0.07275283237145946,0.11407012096308805,0.052180659096405034,0.998219717920354,0.9975456305309734,0.9928484618728909,0.9916970834909116,0.9380530973451328,0.9557522123893806,0.9780813220599464,0.9960285407620635,0.06171385548740598
25,1000,1,0.1936,0.6499999999999996,0.916631994904215,0.6965481618457017,0.2666319949042154,0.046548161845702096,0.17351171207891203,0.0635757594978042,0.9976387249114522,0.9959497573133936,0.9909306368530725,0.9891973996692911,0.9338842975206612,0.9504132231404959,0.9855066601108261,0.9983192913681049,0.08029641412051294
25,1000,2,0.1488,0.6500000000000006,0.9077584595709484,0.696098204558827,0.2577584595709478,0.046098204558826406,0.17816400788778936,0.06041242414649018,0.9939364540383216,0.9971703452178834,0.9779103348100253,0.988364224793649,0.9247311827956989,0.956989247311828,0.9711795773845795,0.9971773818661519,0.07500869499546862
25,1000,3,0.1776,0.6499999999999992,0.9088400928308282,0.7211776247263326,0.258840092830829,0.07117762472633338,0.09441252289940523,0.04447825851726009,0.9919024082448207,0.992559680302871,0.9885802376056546,0.9900271105154737,0.954954954954955,0.972972972972973,0.9874529541177877,0.9982981122467106,0.053363536815481546
25,1000,4,0.1824,0.6500000000000017,0.9144715375100532,0.7148735740315448,0.2644715375100515,0.06487357403154315,0.12539883280708464,0.053653683467812505,0.9945583135921997,0.9942493219349744,0.9861736570792555,0.989745657598304,0.956140350877193,0.9736842105263158,0.9753388129816365,0.997190246179074,0.06488238587036814
