window,window_kind,event_type,q,bin,lags,half_life,drive_mode,drive_timing,K,T_eff,events_total,min_events_asset,rho_naive,rho_drive,delta_rho,critical_to_subcritical,rank1_delta,kappa_median,kappa_min,spike_ratio,loading_alignment,null_p_ge_observed,alg1_applicable,rho_alg1,zero_witness_pass_cols,zero_witness_min_sep,delta_rho_boot_p025,delta_rho_boot_p05,delta_rho_boot_p50,delta_rho_boot_p95,delta_rho_boot_p975,delta_rho_boot_pos_share,K_requested
Terra_Luna,shock,volume_burst,0.985,1min,60,10,loo_market_activity,lag1,20,5700,1740,87,0.8291223534368805,0.7912227992509917,0.03789955418588875,False,0.5088033563394608,0.6524137220954105,0.6492690384382601,3.344880673416236,0.9448383627432634,0.07692307692307693,False,,4,0.5236882495513061,0.006574541466069587,0.012096380074605898,0.07571625435423807,0.1662350312787978,0.1784466866562403,1.0,20
Terra_Luna,shock,volume_burst,0.985,1min,60,10,loo_market_activity,lag1,25,5700,2174,87,0.8681397108518745,0.7916578959803585,0.07648181487151595,False,0.46125027657809353,0.6283938283396397,0.625763744721738,3.7071030195580468,0.9448385335487953,0.07692307692307693,False,,5,0.5273564119423213,0.028876560320262055,0.03016190101794336,0.08353728549093592,0.15832612630583606,0.16834434890126115,1.0,25
Terra_Luna,shock,volume_burst,0.985,1min,60,10,loo_market_activity,lag1,30,5700,2607,87,0.8735623373956861,0.7940001713873273,0.07956216600835886,False,0.44794226976227464,0.6157584467535879,0.6133384078484957,3.923969563921688,0.9251486407922944,0.07692307692307693,False,,5,0.5030649590349994,0.023793896571926557,0.032321318632632025,0.06945084600075163,0.12402893213826792,0.13190216811061994,1.0,30
FTX_collapse,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,5,4260,1079,216,0.9184317216219777,0.7750519983679599,0.14337972325401782,False,0.8917047751713222,0.5899749822641865,0.5878836301620486,2.422913831327973,0.9969139202320491,0.07692307692307693,False,,0,0.7805617000273835,0.09869488675292115,0.10465708225254079,0.18693051480470774,0.24107413304776357,0.24525918067133834,1.0,5
FTX_collapse,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,10,4260,2150,216,0.9242110341452598,0.7686603386768143,0.15555069546844558,False,0.7829109894344651,0.5781568729120997,0.5739348023756514,3.4057044323128225,0.9985073343042982,0.07692307692307693,False,,3,0.9829623275456412,0.08170942595040334,0.08346497206815903,0.177157481756318,0.2644343022764597,0.2814009797298722,1.0,10
FTX_collapse,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,15,4260,3224,216,0.9333828668373996,0.9101177593075954,0.023265107529804152,False,0.6726459557454544,0.5622886226509454,0.5565672443351807,4.413732075169612,0.9979392909958924,0.07692307692307693,False,,3,0.6109575885610775,0.007154006832400689,0.01224148817348903,0.0441958700525758,0.19864869775236346,0.20559584522487623,1.0,15
FTX_collapse,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,20,4260,4297,216,0.9359689468537711,0.9084686431081914,0.027500303745579657,False,0.6194577224649831,0.5523934944852831,0.5482834078685203,4.73788755193135,0.9964882861967249,0.07692307692307693,False,,11,0.5640297810685195,0.00555337751251791,0.007912264587944941,0.049393677160419924,0.1771398142182575,0.20509387452325734,1.0,20
FTX_collapse,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,25,4260,5353,216,0.9373221636057315,0.9080264652781449,0.029295698327586606,False,0.5689469027233823,0.5419130454122295,0.5375607857850178,5.0989767444202645,0.9940888061822191,0.07692307692307693,False,,11,0.5071497235919789,0.007542594390892399,0.011538939165522462,0.043045285255057464,0.10312597712426877,0.12747841152641323,1.0,25
FTX_collapse,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,30,4260,6421,216,0.9373415457140255,0.9079528171790752,0.029388728534950337,False,0.5464671987938078,0.530418447073912,0.5266494740913146,5.744910616502124,0.9943854768238156,0.07692307692307693,False,,16,0.5134668055693894,0.005411651169289958,0.00667629671686551,0.029141618163056215,0.10846375766553575,0.11860105242393179,1.0,30
FTX_collapse,shock,volume_burst,0.97,1min,60,10,loo_market_activity,lag1,5,4260,650,130,0.9083685586895704,0.7454358243439453,0.16293273434562516,False,0.7917604622756875,0.6235356575925929,0.6184899329605063,2.5533970232029914,0.9725720094494166,0.07692307692307693,False,,1,1.945628482273831,0.10164191969463769,0.10621843153386248,0.17454363475442286,0.2926033164476043,0.3116004987407615,1.0,5
FTX_collapse,shock,volume_burst,0.97,1min,60,10,loo_market_activity,lag1,10,4260,1296,130,0.9153742892975392,0.7498749965622454,0.16549929273529373,False,0.7265970597374162,0.6139569330611203,0.609771771214788,3.6930296687392996,0.9885184890574917,0.07692307692307693,False,,0,0.5111303100697184,0.09562256535782684,0.10820749664583953,0.19125369795744324,0.26791837597602214,0.28654347463093716,1.0,10
FTX_collapse,shock,volume_burst,0.97,1min,60,10,loo_market_activity,lag1,15,4260,1943,130,0.9181400150014111,0.9150831871905248,0.0030568278108862312,False,0.6633001745113309,0.6105096029469586,0.60458144931694,4.677991359578061,0.9921005688353879,0.07692307692307693,False,,3,0.5437560928235627,-0.0020333756862664643,-0.0006290387050044089,0.012549253116877379,0.14221413303411246,0.17186501774589713,0.875,15
